feature,importance
hour_cos,1.7599279
cell_density,1.6671655
hour,0.29899767
severity_roll_12,0.19501917
h3_id,0.19243628
avg_repeat_offender,0.16919407
hour_sin,0.15514363
activity_rate_12,0.12821117
day_of_week,0.09528166
month,0.055010647
severity_lag_84,0.021296361
severity_roll_3,0.01221956
is_weekend,0.012125679
junction_count,0.008244201
severity_lag_12,0.008071323
junction_ratio,0.0076259854
severity_lag_1,0.007165723
repeat_lag_1,0.005872779
junction_lag_1,0.0032804385
severity_change,0.00300429
